5566 conc. (in ug/ml)	5566 + FLC (4) dt	5566 + FLC (4) dt	5566 + FLC (2) dt	5566 + FLC (2) dt	5566 + FLC (1) dt	5566 + FLC (1) dt	FLC dt	FLC dt
100	1.270858218	1.069968311	1.170113286	1.130137479	1.213910805	1.160047357		
50	1.150479405	1.080902017	1.023637823	1.085094498	1.059541254	1.093095448		
25	1.107613596	1.083745205	1.113061522	1.0874419	1.043342874	1.05037835		
12.5	1.085554827	1.036383381	1.083418814	1.031696661	1.02670854	1.167565433		
8							1.010396136	0.955732978
6.25	1.081961463	0.992950452	1.124923292	0.972782897	1.043692301	0.980733709		
4							1.003436086	0.968678033
3.125	1.044864778	0.975489572	1.037118527	1.037161676	0.994932597	1.02424967		
2							1.013203636	0.975935237
1.56	1.044159861	1.043445963	0.999138474	0.979032848	0.998129213	0.97014541		
1							0.993813954	0.977888855
